Objects,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,
,,Global Angle PHIL_ROBOT_01:PHIL_ROBOT_01,,,,,,Global Angle TAG_07:TAG_07,,,,,,Global Angle TAG_11:TAG_11,,,,,,Global Angle TAG_12:TAG_12,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
88,0,0.0448398,0.0134248,1.62594,-635.462,-455.855,290.417,,,,,,,,,,,,,-0.684,1.81491,1.43276,-1195.99,-1246.41,552.012
89,0,0.0424165,0.0207219,1.62831,-635.447,-455.968,290.722,,,,,,,,,,,,,-0.680214,1.81367,1.43131,-1195.96,-1246.41,552.013
90,0,0.0448578,0.0133346,1.626,-635.47,-455.808,290.477,,,,,,,,,,,,,-0.682175,1.81483,1.43199,-1195.97,-1246.39,552.029
91,0,0.0449408,0.0132755,1.6259,-635.462,-455.765,290.486,-0.000115562,-0.00131079,0.000707713,-16.4869,2378.11,1270.54,,,,,,,-0.681328,1.8139,1.43222,-1195.97,-1246.36,552.06
92,0,0.0444997,0.0134796,1.62606,-635.479,-455.789,290.483,-0.0188795,0.00138574,0.000753001,-16.6819,2377.15,1270.67,,,,,,,-0.682823,1.81499,1.43115,-1195.99,-1246.42,551.97
93,0,0.0445808,0.0130833,1.6263,-635.482,-455.817,290.46,-0.0331162,0.00155814,0.00137943,-16.611,2376.54,1270.82,,,,,,,-0.68309,1.81495,1.43145,-1196,-1246.46,551.965
94,0,0.0424602,0.0210186,1.62815,-635.453,-455.989,290.727,-0.045166,0.00169005,0.00100622,-16.6158,2376.04,1270.93,,,,,,,-0.683422,1.81493,1.43232,-1195.98,-1246.41,552.025
95,0,0.0445282,0.0135482,1.62565,-635.442,-455.793,290.438,-0.0570845,0.00195942,0.00119387,-16.5981,2375.54,1271.04,,,,,,,-0.682878,1.81464,1.43177,-1196,-1246.42,552.007
96,0,0.0445078,0.0131956,1.62651,-635.469,-455.753,290.481,-0.0688634,0.00218448,0.00221253,-16.552,2375.02,1271.18,,,,,,,-0.683876,1.81486,1.43141,-1195.99,-1246.41,552.014
97,0,0.0427328,0.0208278,1.62822,-635.449,-456.02,290.688,-0.0806353,0.00241518,0.00211727,-16.5399,2374.56,1271.26,,,,,,,-0.681129,1.8137,1.43148,-1195.95,-1246.37,552.024
98,0,0.0450747,0.013209,1.62599,-635.46,-455.827,290.421,-0.0959093,0.00283322,0.00246142,-16.47,2373.94,1271.35,,,,,,,-0.680872,1.81477,1.43104,-1195.98,-1246.38,551.943
99,0,0.0446406,0.0132815,1.62621,-635.485,-455.718,290.529,-0.111163,0.00294434,0.00288341,-16.4671,2373.21,1271.52,,,,,,,-0.682249,1.81457,1.43177,-1195.99,-1246.41,552.001
100,0,0.0449145,0.0134653,1.6258,-635.468,-455.776,290.467,-0.126514,0.00297587,0.00254832,-16.5087,2372.59,1271.65,-0.0183608,-0.00411387,0.0304205,990.831,-1215.28,734.061,-0.681525,1.81276,1.43256,-1195.98,-1246.37,552.04
101,0,0.0444907,0.0132507,1.62629,-635.472,-455.698,290.512,-0.138742,0.00349441,0.0041751,-16.4939,2372.08,1271.7,,,,,,,-0.682359,1.81453,1.43203,-1195.99,-1246.41,552.002
102,0,0.0447755,0.0134075,1.62612,-635.481,-455.739,290.51,-0.154225,0.00374216,0.00338072,-16.4863,2371.45,1271.92,,,,,,,-0.682944,1.81581,1.43294,-1196,-1246.42,552.028
103,0,0.0422827,0.0210991,1.62816,-635.462,-456.052,290.68,-0.166221,0.00400187,0.00407885,-16.4335,2371,1272.04,,,,,,,-0.683382,1.81502,1.43216,-1195.98,-1246.41,551.996
104,0,0.0421708,0.0209427,1.62837,-635.452,-455.994,290.71,-0.178139,0.00432351,0.00453888,-16.4131,2370.5,1272.12,,,,,,,-0.68259,1.81473,1.43138,-1195.96,-1246.42,551.984
105,0,0.0452491,0.0129665,1.62626,-635.489,-455.754,290.521,-0.189587,0.0045,0.00518972,-16.4253,2370.05,1272.29,,,,,,,-0.682095,1.81447,1.43184,-1195.98,-1246.41,552.033
106,0,0.0449902,0.0126699,1.62641,-635.473,-455.756,290.491,-0.338341,0.00356457,0.0082934,-16.2129,2364.21,1273.55,,,,,,,-0.682223,1.81439,1.43136,-1195.98,-1246.4,552.035
107,0,0.0450075,0.0132424,1.62577,-635.46,-455.772,290.462,-0.325055,0.00635436,0.0090847,-16.4542,2364.84,1273.63,,,,,,,-0.683167,1.81491,1.43222,-1196,-1246.43,551.992
108,0,0.0430967,0.0204478,1.62828,-635.45,-456.017,290.7,-0.309558,0.00596485,0.00834632,-16.4704,2365.37,1273.54,,,,,,,-0.681395,1.81364,1.43205,-1195.98,-1246.4,552.045
109,0,0.0446719,0.0132592,1.62617,-635.469,-455.753,290.468,-0.300859,0.00605867,0.0082705,-16.4175,2365.7,1273.41,-0.0173367,0.00209331,0.0369957,991.309,-1215.51,734.284,-0.681534,1.8145,1.43068,-1195.96,-1246.43,551.986
110,0,0.0448206,0.0129937,1.62637,-635.479,-455.751,290.489,-0.288087,0.00596517,0.0077383,-16.4399,2366.22,1273.26,-0.00989125,0.010938,0.0486851,991.985,-1215.73,734.219,-0.681623,1.81495,1.43056,-1195.97,-1246.43,551.933
111,0,0.0448601,0.0132218,1.62621,-635.472,-455.766,290.499,-0.278186,0.00581529,0.00763177,-16.46,2366.58,1273.22,-0.00356324,0.01543,0.0588594,992.649,-1216.24,733.948,-0.681117,1.81333,1.43235,-1195.98,-1246.38,552.026
112,0,0.042499,0.0210762,1.62793,-635.434,-456.02,290.692,-0.271951,0.00535262,0.00694349,-16.4404,2366.86,1273.11,-0.00234695,0.00250022,0.0829351,995.317,-1217.43,733.348,-0.681307,1.81304,1.43108,-1195.98,-1246.41,551.995
113,0,0.0447993,0.0131893,1.62617,-635.477,-455.792,290.489,-0.270236,0.00584697,0.00734038,-16.4526,2366.94,1273.13,,,,,,,-0.684023,1.8152,1.43208,-1195.99,-1246.42,551.98
114,0,0.0448786,0.0134002,1.62599,-635.454,-455.801,290.466,-0.271164,0.00573642,0.00728245,-16.4187,2366.92,1273.14,,,,,,,-0.68418,1.8158,1.43279,-1196.03,-1246.46,551.957
115,0,0.044513,0.0132692,1.62632,-635.468,-455.834,290.437,-0.269917,0.00557204,0.00715463,-16.4254,2366.96,1273.15,,,,,,,-0.680998,1.8147,1.43123,-1195.97,-1246.41,551.973
116,0,0.044862,0.0135525,1.62593,-635.485,-455.725,290.519,-0.280251,0.00276224,0.00636104,-16.1867,2366.52,1272.96,,,,,,,-0.680839,1.81366,1.43164,-1195.97,-1246.38,552.042
117,0,0.0450497,0.0132192,1.62593,-635.461,-455.77,290.479,-0.265183,0.00559922,0.00750171,-16.4413,2367.13,1273.09,,,,,,,-0.679698,1.81331,1.43219,-1195.96,-1246.39,552.037
118,0,0.0449595,0.0132357,1.62611,-635.477,-455.75,290.488,-0.270969,0.0054559,0.00729474,-16.4422,2366.96,1273.16,,,,,,,-0.681328,1.8135,1.43137,-1195.96,-1246.39,552.009
119,0,0.0446926,0.0129268,1.62633,-635.471,-455.808,290.457,-0.272082,0.00568671,0.00686601,-16.4126,2366.87,1273.16,,,,,,,-0.681591,1.81489,1.43256,-1196,-1246.39,551.98
