left_encoder_ticks,right_encoder_ticks,left_current,right_current,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,navx_time,laptop_time
17054,2497,0,30,0.119446,0.010376,0.987183,8.911133,2.014160,54.565426,0,1512690179.548231
17355,3257,0,32,0.192383,-0.004456,0.954285,9.948730,-1.586914,50.964352,0,1512690179.648419
17543,3741,0,34,0.183960,0.061401,0.929382,-2.685547,1.647949,32.287598,0,1512690179.748602
17854,4486,0,32,0.141602,0.074097,0.952209,7.141113,-1.953125,58.227535,0,1512690179.848791
18004,4871,0,30,0.183533,0.083496,1.068115,12.145995,-1.586914,61.462399,0,1512690179.948962
18290,5611,0,34,0.151794,-0.010132,0.914673,-1.037598,-2.868652,48.950191,0,1512690180.049141
18596,6368,0,31,0.031860,0.039490,0.946228,5.920410,-0.122070,69.213867,0,1512690180.149325
18876,7134,0,29,0.195557,0.013489,1.002258,4.455566,-0.854492,66.894531,0,1512690180.249507
19075,7655,0,30,0.001404,-0.022400,1.134705,5.676269,-3.784179,42.968746,0,1512690180.349709
19276,8163,0,32,0.208130,0.029297,1.013367,4.211426,-0.122070,46.691891,0,1512690180.449873
19620,9010,0,33,0.004578,0.202271,1.258850,3.173828,3.295898,45.227047,0,1512690180.550059
19773,9384,0,32,0.211670,0.031860,1.008179,5.126953,-0.610352,40.710445,0,1512690180.650241
20126,10220,0,35,0.109924,0.004944,0.887207,2.258301,-0.793457,62.866207,0,1512690180.750363
20268,10595,0,31,0.218445,0.051941,1.015198,4.455566,-0.183105,79.528809,0,1512690180.850526
20544,11380,0,29,0.039673,-0.036499,0.845337,5.249023,7.080078,74.584961,0,1512690180.950686
20834,12187,0,25,0.077393,0.013489,0.872437,9.338379,0.549316,88.867180,0,1512690181.050839
20969,12607,0,26,0.107422,0.082825,0.849426,3.845215,2.685547,76.110840,0,1512690181.151023
21309,13562,0,27,0.229126,0.068054,1.107117,4.394531,-2.502441,57.434078,0,1512690181.251207
21462,13959,0,29,0.082581,0.082336,1.108643,7.507324,-1.708984,73.669434,0,1512690181.351391
21795,14865,0,29,0.102783,-0.032776,0.942261,1.770019,0.244141,48.156734,0,1512690181.451582
21941,15247,0,31,0.062927,0.051941,1.177856,6.774902,-1.953125,43.945309,0,1512690181.551766
22292,16112,0,34,0.061584,0.040344,1.036499,0.793457,0.732422,54.077145,0,1512690181.651953
22490,16604,0,32,0.089905,0.029846,0.985291,0.610352,0.854492,44.738766,0,1512690181.752133
22788,17340,0,34,0.041565,0.047302,0.950623,2.563476,-0.061035,42.358395,0,1512690181.852313
22988,17821,0,34,0.022522,0.041809,1.057983,6.713867,-2.014160,60.607906,0,1512690181.952496
23279,18559,0,33,0.117676,0.105896,0.960510,3.051758,-0.549316,47.363277,0,1512690182.052681
23473,19039,0,35,0.176208,0.061035,1.049255,0.854492,1.281738,42.785641,0,1512690182.152865
23774,19779,0,32,0.123474,0.016785,1.048767,6.225585,-3.112793,67.810059,0,1512690182.253051
23965,20294,0,30,0.077515,0.037109,1.135742,4.760742,0.976562,59.997555,0,1512690182.353403
24256,21048,0,31,0.083374,0.013855,1.010742,4.272461,2.014160,57.312008,0,1512690182.453590
24500,21690,0,31,0.000732,0.054688,1.004578,5.981445,1.647949,66.711426,0,1512690182.553773
24636,22060,0,25,0.079163,0.072327,1.037170,0.610352,-0.305176,50.964352,0,1512690182.653957
24910,22721,0,11,0.136597,0.036011,1.200134,2.807617,0.305176,41.870113,0,1512690182.754141
25166,23240,0,6,0.093628,0.042236,1.074158,1.281738,0.061035,25.634764,0,1512690182.854311
25289,23440,0,6,-0.074768,-0.033752,1.042236,-0.915527,0.427246,5.126953,0,1512690182.954423
25547,23774,0,5,0.137512,0.034241,0.962158,0.854492,2.136230,3.601074,0,1512690183.054569
25620,23871,0,3,-0.052368,-0.036194,1.045654,0.366211,0.000000,1.159668,0,1512690183.154754
25731,24019,0,4,-0.073608,-0.013000,1.043091,-0.671387,0.854492,1.708984,0,1512690183.254913
25737,24003,0,1,0.027283,-0.030579,1.048157,0.976562,-2.380371,0.122070,0,1512690183.355101
25738,24009,0,0,0.138428,0.001526,1.032410,-0.305176,0.366211,0.366211,0,1512690183.455323
25738,24009,0,0,0.025757,-0.023132,1.021606,0.244141,-0.549316,-0.122070,0,1512690183.555508
25738,24009,0,0,0.119934,-0.005981,1.025879,-0.244141,0.488281,0.061035,0,1512690183.655669
25738,24009,0,0,0.075256,-0.016663,1.048767,0.122070,0.488281,0.122070,0,1512690183.755842
25738,24009,0,0,0.087891,-0.008423,1.023621,-0.061035,-0.793457,-0.183105,0,1512690183.856033
25738,24009,0,0,0.071411,-0.020447,1.026062,0.000000,0.366211,0.000000,0,1512690183.956225
25738,24009,0,0,0.087952,-0.008728,1.018982,0.000000,-0.427246,0.061035,0,1512690184.056407
25738,24009,0,0,0.084900,-0.018188,1.023132,-0.122070,0.427246,-0.061035,0,1512690184.156590
25738,24009,0,0,0.086304,-0.009399,1.021667,0.000000,-0.427246,0.061035,0,1512690184.256775
25738,24009,0,0,0.089294,-0.017578,1.024963,-0.183105,0.183105,0.061035,0,1512690184.356957
25738,24009,0,0,0.080078,-0.012329,1.026123,0.183105,-0.427246,0.000000,0,1512690184.457141
25738,24009,0,0,0.084717,-0.014709,1.023010,-0.183105,0.183105,0.000000,0,1512690184.557330
25738,24009,0,0,0.080688,-0.015625,1.026611,0.061035,-0.061035,-0.122070,0,1512690184.657520
25738,24009,0,0,0.084595,-0.012390,1.023865,0.000000,0.122070,0.061035,0,1512690184.757712
25738,24009,0,0,0.081360,-0.017395,1.025574,-0.061035,-0.244141,0.061035,0,1512690184.857894
25738,24009,0,0,0.085083,-0.014282,1.023438,-0.061035,0.000000,-0.061035,0,1512690184.958047
25738,24009,0,0,0.081787,-0.014282,1.019653,0.122070,0.061035,-0.061035,0,1512690185.058195
25738,24009,0,0,0.083679,-0.013733,1.024170,-0.122070,0.000000,0.000000,0,1512690185.158328
25738,24009,0,0,0.081970,-0.016724,1.028076,0.000000,0.000000,0.000000,0,1512690185.258445
25738,24009,0,0,0.083557,-0.013428,1.025208,-0.122070,-0.061035,0.000000,0,1512690185.358613
25738,24009,0,0,0.082764,-0.014343,1.023010,-0.061035,-0.122070,0.000000,0,1512690185.458775
25738,24009,0,0,0.082886,-0.014709,1.025391,-0.122070,-0.244141,0.000000,0,1512690185.558927
25738,24009,0,0,0.083679,-0.010315,1.026855,-0.061035,0.061035,0.000000,0,1512690185.659096
25738,24009,0,0,0.083984,-0.015747,1.021729,-0.183105,-0.183105,0.061035,0,1512690185.759279
25738,24009,0,0,0.083740,-0.013123,1.020569,-0.061035,-0.061035,-0.061035,0,1512690185.859461
25738,24009,0,0,0.086487,-0.015625,1.024658,-0.061035,-0.122070,0.000000,0,1512690185.959645
25738,24009,0,0,0.080139,-0.016174,1.021912,-0.183105,-0.061035,0.000000,0,1512690186.059833
25738,24009,0,0,0.084595,-0.013428,1.020508,0.122070,0.000000,-0.061035,0,1512690186.160018
25738,24009,0,0,0.085510,-0.010437,1.024719,-0.244141,-0.061035,0.000000,0,1512690186.260204
25738,24009,0,0,0.094543,-0.006836,0.974670,-0.122070,0.122070,0.000000,0,1512690186.360323
