Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
323,0,-0.0166602,-0.0524033,2.66588,517.43,909.28,286.557
324,0,-0.0166859,-0.0523414,2.66588,517.423,909.271,286.538
325,0,-0.0167027,-0.0525242,2.66591,517.42,909.255,286.567
326,0,-0.0168297,-0.0524496,2.66587,517.433,909.289,286.555
327,0,-0.0165828,-0.0525595,2.66591,517.435,909.279,286.538
328,0,-0.0166618,-0.0525125,2.66593,517.414,909.236,286.555
329,0,-0.0167392,-0.0525395,2.66591,517.429,909.29,286.572
330,0,-0.0167442,-0.0523283,2.6659,517.434,909.306,286.56
331,0,-0.0166202,-0.0522549,2.66591,517.415,909.225,286.55
332,0,-0.0166875,-0.0524572,2.6659,517.42,909.287,286.547
333,0,-0.0167278,-0.0526185,2.66589,517.432,909.314,286.546
334,0,-0.0167417,-0.0525468,2.66595,517.422,909.219,286.574
335,0,-0.0166996,-0.0524028,2.66591,517.414,909.268,286.562
336,0,-0.0166541,-0.052453,2.66585,517.441,909.308,286.552
337,0,-0.0166407,-0.0523051,2.66585,517.429,909.255,286.544
338,0,-0.0166713,-0.0524506,2.66583,517.414,909.268,286.554
339,0,-0.0166821,-0.0525122,2.66584,517.42,909.292,286.567
340,0,-0.0167229,-0.0522272,2.66589,517.438,909.258,286.58
341,0,-0.01661,-0.0523184,2.6659,517.421,909.26,286.552
342,0,-0.0165655,-0.0524392,2.66596,517.419,909.293,286.523
343,0,-0.0166765,-0.0523396,2.66589,517.435,909.284,286.567
344,0,-0.0166778,-0.0524077,2.66593,517.437,909.269,286.563
345,0,-0.0166397,-0.0523719,2.66586,517.414,909.26,286.55
346,0,-0.0166706,-0.052406,2.6659,517.431,909.249,286.58
347,0,-0.0166631,-0.0522994,2.66591,517.438,909.268,286.565
348,0,-0.0166225,-0.0525869,2.66583,517.408,909.281,286.528
349,0,-0.016628,-0.0526515,2.66593,517.428,909.27,286.55
350,0,-0.0168115,-0.0526237,2.66595,517.448,909.271,286.577
351,0,-0.0166682,-0.0524362,2.66593,517.414,909.255,286.538
352,0,-0.0167124,-0.052493,2.66587,517.414,909.236,286.569
353,0,-0.0166216,-0.0525839,2.66581,517.442,909.301,286.562
354,0,-0.0167311,-0.0526244,2.66588,517.432,909.282,286.526
355,0,-0.0167111,-0.0525991,2.66596,517.413,909.236,286.572
356,0,-0.0166896,-0.0524687,2.66589,517.438,909.267,286.574
357,0,-0.0166919,-0.052612,2.66587,517.436,909.286,286.549
358,0,-0.0166268,-0.0524273,2.66582,517.414,909.254,286.552
359,0,-0.0166466,-0.0525926,2.66585,517.425,909.267,286.543
