left_ticks,right_ticks,time_s,time_ns
12876,4962,1521301139,541753952
12944,5165,1521301139,565702284
12968,5233,1521301139,589705571
12968,5233,1521301139,621691446
13033,5435,1521301139,649741435
13033,5435,1521301139,673685290
13101,5639,1521301139,697702193
13123,5705,1521301139,721702037
13123,5705,1521301139,745715184
13193,5910,1521301139,769709866
13213,5975,1521301139,793704345
13213,5975,1521301139,817709243
13213,5975,1521301139,841681151
13280,6177,1521301139,865716924
13303,6245,1521301139,889900467
13303,6245,1521301139,917709387
13371,6448,1521301139,941708273
13371,6448,1521301139,965710555
13439,6651,1521301139,989683807
13439,6651,1521301140,13722838
13439,6651,1521301140,37702777
13508,6855,1521301140,61704109
13531,6922,1521301140,85710015
13531,6922,1521301140,109709641
13599,7127,1521301140,137711190
13623,7196,1521301140,161702656
13623,7196,1521301140,185703665
13690,7403,1521301140,209705151
13690,7403,1521301140,233714600
13690,7403,1521301140,257683089
13759,7611,1521301140,281710076
13780,7679,1521301140,305716397
13780,7679,1521301140,329703789
13844,7883,1521301140,353701360
13844,7883,1521301140,377681843
13844,7883,1521301140,397699566
13911,8089,1521301140,421700787
13911,8089,1521301140,445676261
13976,8292,1521301140,469715392
13976,8292,1521301140,493721909
13976,8292,1521301140,517715183
14045,8501,1521301140,549736750
14045,8501,1521301140,569769799
14110,8703,1521301140,593709495
14110,8703,1521301140,617709122
14110,8703,1521301140,641688295
14179,8910,1521301140,661721391
14179,8910,1521301140,689692353
14244,9120,1521301140,721698317
14244,9120,1521301140,749724155
14310,9330,1521301140,773687805
14310,9330,1521301140,797714994
14310,9330,1521301140,821712770
14375,9535,1521301140,849711296
14375,9535,1521301140,873685603
14442,9741,1521301140,897719881
14442,9741,1521301140,917757296
14442,9741,1521301140,941694449
14510,9950,1521301140,965711302
14510,9950,1521301140,989695311
14579,10158,1521301141,13716674
14579,10158,1521301141,37717812
14579,10158,1521301141,61729968
14645,10365,1521301141,89673903
14645,10365,1521301141,113704714
14711,10573,1521301141,137713677
14711,10573,1521301141,161702017
14778,10782,1521301141,189699583
14778,10782,1521301141,213761931
14778,10782,1521301141,237710257
14843,10990,1521301141,261704133
14843,10990,1521301141,285716569
14912,11197,1521301141,309698907
14912,11197,1521301141,333737549
14912,11197,1521301141,357680333
14979,11405,1521301141,377701479
15002,11473,1521301141,401718699
15002,11473,1521301141,425786711
15069,11683,1521301141,453732018
15095,11756,1521301141,481732829
15095,11756,1521301141,505957337
15172,11968,1521301141,529711475
15172,11968,1521301141,553709904
15172,11968,1521301141,577709554
15239,12173,1521301141,601735647
15264,12243,1521301141,625712826
15264,12243,1521301141,649730489
15331,12452,1521301141,673701851
15351,12521,1521301141,697732572
15351,12521,1521301141,721715581
15420,12732,1521301141,745712591
15442,12801,1521301141,769722419
15442,12801,1521301141,793713620
15442,12801,1521301141,813739609
15512,13012,1521301141,837702614
15536,13083,1521301141,861705032
15581,13219,1521301141,889700771
15581,13219,1521301141,917699697
